,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,Navrongo,10.8956,-1.0921,87.12,37,71,9.57,GH,1650428508
289,Townsville,-19.25,146.8,85.08,58,20,18.41,AU,1650428410
290,Kijabe,-0.933,36.5758,58.41,92,78,3.98,KE,1650428508
291,Piaçabuçu,-10.4056,-36.4344,76.57,86,22,3.15,BR,1650428509
292,Goderich,43.7501,-81.7165,37.9,75,57,12.66,CA,1650428509
293,Esna,25.2934,32.554,68.47,27,0,13.96,EG,1650428509
294,Indi,17.1667,75.9667,95.95,21,55,14.43,IN,1650428509
295,Te Anau,-45.4167,167.7167,59.05,98,100,2.1,NZ,1650428326
296,Camacha,33.0833,-16.3333,56.62,67,75,11.5,PT,1650428509
297,Tarakan,3.3,117.6333,78.3,89,75,4.61,ID,1650428510
298,Sangar,63.9242,127.4739,27.18,83,100,5.57,RU,1650428510
299,Tura,25.5198,90.2201,79.5,66,97,1.23,IN,1650428503
300,Vestmannaeyjar,63.4427,-20.2734,43.83,89,100,39.35,IS,1650428510
301,Uyskoye,54.3775,60.0047,53.73,71,99,12.15,RU,1650428510
302,Eyl,7.9803,49.8164,82.13,66,60,8.99,SO,1650428511
303,Waddān,29.1614,16.139,56.61,35,59,9.62,LY,1650428511
304,Grand Gaube,-20.0064,57.6608,82.38,82,21,7.0,MU,1650428511
305,Batesville,35.7698,-91.641,51.3,57,0,5.99,US,1650428511
306,East Moline,41.5009,-90.4443,46.09,53,100,8.05,US,1650428511
307,Neochori,41.1833,23.25,44.11,89,79,2.26,GR,1650428511
308,Teruel,40.6667,-0.6667,35.65,97,100,4.94,ES,1650428511
309,Pushkino,56.0172,37.8667,41.29,81,3,10.6,RU,1650428511
310,Perth,-31.9333,115.8333,74.79,56,20,13.8,AU,1650428451
311,Micăsasa,46.0833,24.1167,30.42,82,43,1.63,RO,1650428512
312,San Cristobal,7.7669,-72.225,69.98,73,100,1.19,VE,1650428512
313,Marawi,7.9986,124.2928,81.52,66,100,3.0,PH,1650428512
314,Bullas,38.0467,-1.6723,51.15,70,61,4.5,ES,1650428512
315,Karratha,-20.7377,116.8463,94.05,28,5,10.11,AU,1650428512
316,Adrar,20.5022,-10.0711,75.9,13,5,7.52,MR,1650428512
317,Boa Vista,2.8197,-60.6733,78.78,78,75,11.5,BR,1650428512
318,Meulaboh,4.1363,96.1285,83.82,68,96,3.38,ID,1650427941
319,Orange Cove,36.6244,-119.3137,64.06,61,78,4.94,US,1650428513
320,Chui,-33.6971,-53.4616,61.16,94,50,6.53,UY,1650427943
321,Rio Grande,-32.035,-52.0986,64.9,91,4,9.55,BR,1650428514
322,Andenes,69.3143,16.1194,37.38,93,0,9.22,NO,1650428514
323,Soskovo,52.7475,35.3828,47.59,95,100,11.59,RU,1650428514
324,Lázaro Cárdenas,17.9583,-102.2,74.5,79,7,3.56,MX,1650428514
325,Golspie,57.9727,-3.978,39.34,91,10,2.19,GB,1650428514
326,Ibipeba,-11.6408,-42.0111,67.19,89,53,8.68,BR,1650428514
327,Erenhot,43.6475,111.9767,66.7,9,100,29.55,CN,1650428327
328,Gunnedah,-30.9833,150.25,71.62,40,38,6.53,AU,1650428515
329,Ürümqi,43.801,87.6005,61.75,32,86,4.47,CN,1650428287
330,Coquimbo,-29.9533,-71.3436,53.33,87,0,5.75,CL,1650428515
331,Vao,-22.6667,167.4833,75.99,68,0,6.93,NC,1650427962
332,Praia,14.9215,-23.5087,68.54,83,20,10.36,CV,1650428515
333,Mossamedes,-15.1961,12.1522,74.1,80,100,4.56,AO,1650428515
334,Broken Hill,-31.95,141.4333,67.71,40,0,7.74,AU,1650428516
335,Bafia,4.75,11.2333,72.18,92,100,3.51,CM,1650428516
336,Al Bardīyah,31.7561,25.0865,56.12,75,0,6.22,LY,1650428516
337,Jadu,31.953,12.0261,59.81,17,85,17.98,LY,1650428516
338,Lac du Bonnet,50.2536,-96.0612,32.13,89,100,11.5,CA,1650428516
339,Blagoyevo,63.3667,47.9167,34.27,99,100,5.73,RU,1650428516
340,São João da Barra,-21.6403,-41.0511,68.5,91,6,7.56,BR,1650428516
341,Biltine,14.5333,20.9167,86.5,18,68,9.42,TD,1650428516
342,Narsaq,60.9167,-46.05,30.42,46,0,5.39,GL,1650428517
343,Griffith,41.5284,-87.4237,44.53,67,75,8.05,US,1650428517
344,West Lafayette,40.4259,-86.9081,45.57,66,0,0.0,US,1650428517
345,Copiapó,-27.3667,-70.3333,51.49,73,53,0.58,CL,1650428517
346,Najrān,17.4924,44.1277,70.45,19,0,2.35,SA,1650428517
347,Port Augusta,-32.5,137.7667,71.42,50,57,5.68,AU,1650428517
348,Moss Vale,-34.55,150.3833,63.23,51,19,9.89,AU,1650428517
349,Nyzhni Sirohozy,46.8484,34.3804,45.27,76,100,6.38,UA,1650428518
350,Lavrentiya,65.5833,-171.0,27.97,80,0,3.31,RU,1650428518
351,Muli,2.9167,73.5667,84.06,66,44,9.1,MV,1650428518
352,Klaksvík,62.2266,-6.589,43.72,85,2,14.81,FO,1650428518
353,Saint Lawrence,36.0553,14.204,57.85,89,7,8.99,MT,1650428518
354,Novikovo,51.1537,37.8879,52.5,91,100,1.45,RU,1650428518
355,Huarmey,-10.0681,-78.1522,67.78,85,22,8.97,PE,1650428518
356,Yagoua,10.3411,15.2329,80.62,25,100,5.88,CM,1650428518
357,Talnakh,69.4865,88.3972,4.21,90,97,8.57,RU,1650428519
358,Ligayan,4.6533,119.4706,83.08,74,32,7.78,PH,1650428519
359,Marsh Harbour,26.5412,-77.0636,73.85,73,25,21.5,BS,1650428519
360,Kishtwār,33.3167,75.7667,70.86,33,33,2.08,IN,1650428519
361,Saint Anthony,45.0205,-93.218,43.93,47,100,10.36,US,1650428519
362,Catuday,16.2923,119.8062,85.26,59,71,3.85,PH,1650428520
363,Sarangani,5.4033,125.4636,82.99,75,91,16.44,PH,1650428520
364,Meadow Lake,34.8014,-106.5436,69.21,10,67,20.38,US,1650428520
365,Kloulklubed,7.0419,134.2556,77.5,78,78,13.49,PW,1650428520
366,Antofagasta,-23.65,-70.4,60.08,86,78,4.0,CL,1650428520
367,Grande Rivière du Nord,19.5833,-72.1833,74.17,84,89,4.72,HT,1650428520
368,San Francisco,37.7749,-122.4194,56.03,84,40,12.66,US,1650428343
369,Sawang Daen Din,17.4753,103.4575,86.18,55,32,5.39,TH,1650428521
370,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,64.44,80,4,6.87,AR,1650428521
371,Mahajanga,-15.7167,46.3167,77.02,100,20,2.3,MG,1650428521
372,Ancud,-41.8697,-73.8203,47.23,84,7,3.71,CL,1650427950
373,Singkang,2.1006,102.7994,82.53,77,99,6.51,MY,1650428521
374,Nicoya,10.1483,-85.452,79.0,74,56,4.29,CR,1650428522
375,Guiratinga,-16.3494,-53.7583,72.07,66,46,3.87,BR,1650428522
376,Porto Murtinho,-21.6989,-57.8825,70.43,60,3,4.65,BR,1650428522
377,Porto Belo,-27.1578,-48.5531,64.26,89,4,5.03,BR,1650428523
378,Tabuk,17.4189,121.4443,85.8,62,53,5.5,PH,1650428523
379,Kindu,-2.95,25.95,68.97,100,100,2.37,CD,1650428523
380,Gorom-Gorom,14.4439,-0.2361,82.47,12,73,7.61,BF,1650428523
381,Qaqortoq,60.7167,-46.0333,26.65,41,0,20.09,GL,1650428523
382,Hamilton,39.1834,-84.5333,42.22,78,0,0.0,US,1650428523
383,Bathsheba,13.2167,-59.5167,77.61,83,75,17.27,BB,1650427955
384,Sobolevo,54.4299,31.8996,43.41,91,100,15.99,RU,1650428524
385,Micheweni,-4.9667,39.8333,79.38,83,100,10.89,TZ,1650428524
386,Halifax,44.6453,-63.5724,46.29,95,100,12.66,CA,1650428524
387,Terme,41.2092,36.9739,46.33,92,100,4.97,TR,1650428524
388,Isangel,-19.55,169.2667,82.76,74,13,5.5,VU,1650428524
389,Tual,-5.6667,132.75,83.68,71,75,3.51,ID,1650428524
390,Binga,-17.6203,27.3414,66.31,67,97,4.27,ZW,1650428524
391,Sonoita,31.85,-112.8333,77.85,10,30,7.05,MX,1650428524
392,Pisco,-13.7,-76.2167,65.01,88,0,10.36,PE,1650428525
393,Cravo Norte,6.3017,-70.2041,79.68,75,84,5.14,CO,1650427947
394,Manta,-0.95,-80.7333,80.38,83,75,4.61,EC,1650428525
395,São José da Coroa Grande,-8.8978,-35.1478,76.95,87,18,6.62,BR,1650428525
396,La Rioja,42.25,-2.5,37.18,99,100,8.05,ES,1650428525
397,Constitución,-35.3333,-72.4167,55.92,97,100,6.82,CL,1650428525
398,Cashel,52.5158,-7.8856,33.89,95,6,0.92,IE,1650428526
399,Portland,45.5234,-122.6762,47.01,91,100,1.01,US,1650428526
400,Berlevåg,70.8578,29.0864,37.4,92,100,11.01,NO,1650428526
401,Yining,29.0361,114.5636,75.18,49,71,3.89,CN,1650428526
402,Morón,-34.6534,-58.6198,65.95,94,100,3.76,AR,1650428526
403,Bauska,56.4075,24.1906,42.13,78,54,11.99,LV,1650428526
404,Gizo Government Station,-8.103,156.8419,83.93,71,99,2.35,SB,1650428526
405,Terekli-Mekteb,44.1671,45.8698,55.15,71,100,10.22,RU,1650428526
406,Yangi Marg`ilon,40.4272,71.7189,63.32,82,75,9.22,UZ,1650427938
407,Salon,26.0333,81.45,101.39,10,0,3.69,IN,1650428527
408,Kiama,-34.6833,150.8667,71.46,51,11,3.09,AU,1650428527
409,Óbidos,-1.9175,-55.5181,74.98,95,97,0.38,BR,1650428527
410,Erkelenz,51.0833,6.3167,45.9,71,20,6.76,DE,1650428527
411,Christchurch,-43.5333,172.6333,74.32,74,100,10.36,NZ,1650428400
412,Mount Isa,-20.7333,139.5,91.17,19,63,9.22,AU,1650428527
413,Nanortalik,60.1432,-45.2371,24.24,56,0,27.18,GL,1650427935
414,Ambilobe,-13.2,49.05,75.16,90,53,2.24,MG,1650428528
415,Laguna,38.421,-121.4238,59.43,62,0,6.91,US,1650428529
416,Acapulco de Juárez,16.8634,-99.8901,80.42,78,20,4.61,MX,1650428529
417,Leshukonskoye,64.8989,45.7622,28.8,81,96,9.51,RU,1650428529
418,Cherskiy,68.75,161.3,31.86,85,34,11.1,RU,1650428529
419,Örnsköldsvik,63.2909,18.7153,27.55,100,16,2.3,SE,1650428530
420,Sola,-13.8833,167.55,83.3,71,90,12.48,VU,1650428530
421,Nuuk,64.1835,-51.7216,14.61,67,75,10.36,GL,1650427939
422,Barcelos,41.5388,-8.6151,46.54,74,2,11.45,PT,1650428531
423,Kostalexis,38.8579,22.3646,48.06,78,4,4.21,GR,1650428531
424,Mezhdurechensk,53.6942,88.0603,43.95,50,52,5.79,RU,1650428531
425,Mana,5.6592,-53.7767,77.11,89,100,7.81,GF,1650428532
426,Tevaitoa,-16.7833,-151.5,80.98,69,1,3.91,PF,1650428532
427,Bintulu,3.1667,113.0333,90.01,70,20,2.3,MY,1650428295
428,Valky,49.8387,35.6207,43.61,89,100,6.24,UA,1650428532
429,Kilis,36.7161,37.115,52.03,87,0,5.01,TR,1650428532
430,Altamont,42.2068,-121.7372,37.76,73,75,4.61,US,1650428532
431,Ranong,9.9658,98.6348,89.53,61,94,2.48,TH,1650428532
432,Saucillo,28.0167,-105.2833,76.3,16,28,6.11,MX,1650428532
433,Santa Helena,-2.2311,-45.3,73.78,98,100,1.59,BR,1650428533
434,Inverell,-29.7833,151.1167,76.66,46,15,5.99,AU,1650428533
435,Bumba,2.1833,22.4667,71.92,98,100,2.08,CD,1650428533
436,Oruzgan,32.8333,66.0,59.34,25,8,3.31,AF,1650428533
437,Am Timan,11.0297,20.2827,81.81,41,100,5.93,TD,1650428533
438,Kaseda-shirakame,31.4167,130.3167,67.82,54,67,4.94,JP,1650428495
439,Natal,-5.795,-35.2094,77.22,94,20,4.61,BR,1650428533
440,Los Llanos de Aridane,28.6585,-17.9182,60.55,74,100,16.11,ES,1650428534
441,Urmia,37.5527,45.0761,56.75,47,20,4.61,IR,1650428534
442,Yulara,-25.2406,130.9889,73.24,21,9,10.36,AU,1650428534
443,Tsimmerbude,54.675,20.1347,48.25,74,100,13.33,RU,1650428534
444,Gawler,-34.6,138.7333,70.25,66,90,11.1,AU,1650428534
445,Arrecife,28.963,-13.5477,62.58,67,75,19.57,ES,1650428534
446,Tautira,-17.7333,-149.15,80.94,70,16,4.25,PF,1650428534
447,Taksimo,56.3444,114.8794,29.71,41,98,3.18,RU,1650428534
448,Kuytun,54.3419,101.5036,37.58,53,99,17.09,RU,1650428535
449,Kendari,-3.945,122.4989,88.45,58,95,5.19,ID,1650428316
450,Vanavara,60.34,102.2797,27.25,69,100,11.83,RU,1650428535
451,Kärdla,58.9978,22.7492,40.05,87,0,8.05,EE,1650428535
452,Dunedin,-45.8742,170.5036,59.81,84,100,5.99,NZ,1650428415
453,Bismarck,46.8083,-100.7837,36.46,71,0,11.5,US,1650428535
454,Santa Maria,-29.6842,-53.8069,60.44,87,40,4.65,BR,1650428525
455,Verāval,20.9,70.3667,88.3,47,82,9.42,IN,1650428478
456,Medianeira,-25.2953,-54.0939,59.72,88,0,3.98,BR,1650428536
457,Supe,-10.8,-77.7333,66.69,86,20,7.45,PE,1650428536
458,Puerto Baquerizo Moreno,-0.9,-89.6,72.86,91,37,6.82,EC,1650428536
459,Wewak,-3.5534,143.6268,83.93,76,58,7.96,PG,1650428536
460,Custoias,41.1053,-7.321,39.61,74,47,12.08,PT,1650428536
461,Ardabil,38.2498,48.2933,60.35,51,75,6.91,IR,1650428536
462,Cap Malheureux,-19.9842,57.6142,81.46,82,25,10.0,MU,1650427956
463,Fjerritslev,57.0813,9.2664,45.82,85,83,9.69,DK,1650428537
464,Anadyr,64.75,177.4833,34.3,80,40,6.71,RU,1650428537
465,Voskevan,41.1202,45.0653,56.32,61,98,3.49,AM,1650428537
466,Gīdolē,5.65,37.3667,57.56,81,52,2.06,ET,1650428537
467,Pathein,16.7833,94.7333,96.82,33,28,4.0,MM,1650428538
468,Torquay,50.4638,-3.5143,47.93,57,67,8.01,GB,1650428538
469,Bubaque,11.2833,-15.8333,74.77,76,44,11.86,GW,1650428538
470,Gornopravdinsk,60.05,69.9,37.65,85,100,7.83,RU,1650428538
471,Guane,22.2025,-84.0875,72.5,75,1,8.63,CU,1650428538
472,Vila Franca do Campo,37.7167,-25.4333,60.19,68,68,6.82,PT,1650428539
473,Severodvinsk,64.5635,39.8302,33.91,89,96,9.15,RU,1650428540
474,Suileng,47.25,127.0833,77.72,12,38,27.74,CN,1650428540
475,Port Blair,11.6667,92.75,87.84,70,40,5.75,IN,1650428540
476,Sayyan,15.1718,44.3244,61.79,30,1,4.05,YE,1650428540
477,Sampit,-2.5333,112.95,87.21,60,93,2.55,ID,1650428540
478,Lubango,-14.9172,13.4925,59.32,91,100,3.8,AO,1650428540
479,Darhan,49.4867,105.9228,41.04,30,59,18.5,MN,1650428330
480,Puro,12.4841,123.3827,85.77,64,26,6.55,PH,1650428541
481,Šibenik,43.7272,15.9058,47.86,76,100,8.99,HR,1650428541
482,Aden,12.7794,45.0367,81.63,77,1,18.16,YE,1650428541
483,Ialibu,-6.2821,143.9935,66.2,84,98,3.56,PG,1650428541
484,Pontianak,-0.0333,109.3333,89.58,66,75,5.75,ID,1650428247
485,Roald,62.5833,6.1333,44.76,100,0,4.61,NO,1650428541
486,San Miguel de Cozumel,20.5083,-86.9458,78.87,89,0,4.61,MX,1650428542
487,Sioux Lookout,50.1001,-91.917,28.47,50,20,3.44,CA,1650428543
488,Esmeraldas,-19.7625,-44.3139,65.26,85,1,3.29,BR,1650428543
489,Ugoofaaru,5.6667,73.0,84.18,72,58,10.07,MV,1650428543
490,Acaraú,-2.8856,-40.12,77.11,88,91,6.91,BR,1650428545
491,Nyurba,63.2842,118.3319,24.08,80,100,10.47,RU,1650428545
492,Hambantota,6.1241,81.1185,84.74,72,89,5.55,LK,1650428545
493,North Bend,43.4065,-124.2243,48.16,90,0,9.22,US,1650428545
494,Peniche,39.3558,-9.3811,53.11,81,40,30.58,PT,1650428547
495,Mogadishu,2.0371,45.3438,84.07,79,75,0.0,SO,1650428547
496,Voyvozh,62.892,54.9635,32.54,98,100,6.67,RU,1650428547
497,Mayo,38.8876,-76.5119,46.51,57,0,11.5,US,1650428547
498,Beidao,34.5686,105.8933,67.59,32,0,7.47,CN,1650428548
499,Manzanillo,20.3433,-77.1167,70.84,92,90,10.69,CU,1650428548
500,Betioky,-23.7167,44.3833,71.29,85,0,5.61,MG,1650428548
501,Khomutovka,51.9207,34.5619,45.64,94,100,6.82,RU,1650428549
502,Asău,46.4333,26.4,35.96,89,100,3.53,RO,1650428549
503,Honningsvåg,70.9821,25.9704,40.75,75,0,3.44,NO,1650428549
504,Ust-Nera,64.5667,143.2,24.55,79,100,4.68,RU,1650428549
505,Lucapa,-8.4192,20.7447,64.65,96,85,1.57,AO,1650428549
506,High Level,58.5169,-117.136,28.51,37,75,0.0,CA,1650428550
507,Waipawa,-41.4122,175.5153,68.2,65,28,5.82,NZ,1650428550
508,Kodinsk,58.6881,99.1844,32.97,65,100,10.85,RU,1650428550
509,Lima,-12.0432,-77.0282,68.9,75,0,12.66,PE,1650428522
510,Sarany,58.5,58.8833,37.94,81,78,7.31,RU,1650428550
511,Forestville,38.8451,-76.875,45.55,57,40,10.36,US,1650428550
512,Klyuchi,52.2667,79.1667,50.97,35,100,12.66,RU,1650428550
513,Agadez,19.75,10.25,71.01,14,6,6.22,NE,1650428551
514,Kysyl-Syr,63.8986,122.7617,24.66,87,100,7.0,RU,1650428551
515,Naze,28.3667,129.4833,74.32,57,92,4.85,JP,1650428258
516,Kutum,14.2,24.6667,71.96,19,98,7.54,SD,1650428551
517,Kawalu,-7.3817,108.2082,78.64,78,100,0.63,ID,1650428551
518,Avera,33.194,-82.5271,45.91,50,0,4.76,US,1650428551
519,Semīrom,31.4167,51.5667,56.37,25,99,2.04,IR,1650428551
520,Vila Velha,-20.3297,-40.2925,69.75,88,0,3.44,BR,1650428551
521,Ilhabela,-23.7781,-45.3581,68.07,86,16,2.68,BR,1650428552
522,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,24,0,11.18,RU,1650428405
523,San Fernando del Valle de Catamarca,-28.4696,-65.7852,71.78,57,3,3.0,AR,1650428552
524,Devonport,-41.1667,146.35,64.99,48,16,15.5,AU,1650428468
525,Carbonia,39.1672,8.5222,49.15,63,76,8.01,IT,1650428552
526,Carutapera,-1.195,-46.02,76.32,91,100,3.74,BR,1650428552
527,Upernavik,72.7868,-56.1549,-7.8,99,95,6.93,GL,1650428552
528,Markova,48.6758,24.4138,32.81,82,94,3.4,UA,1650428552
529,Kisiwani,-4.1333,37.95,69.71,88,53,2.51,TZ,1650428553
530,Praia,14.9215,-23.5087,68.54,83,20,10.36,CV,1650428515
531,Bella Union,-30.2752,-57.6007,61.11,88,23,6.8,UY,1650428553
532,Bragança,-1.0536,-46.7656,73.83,95,100,0.83,BR,1650428553
533,Valparai,10.3667,76.9667,78.66,60,6,2.73,IN,1650428553
534,Pasni,25.2631,63.471,79.66,78,1,2.44,PK,1650428553
535,Atyrau,47.1167,51.8833,64.42,52,0,17.9,KZ,1650428554
536,Umluj,25.0213,37.2685,74.64,72,2,8.81,SA,1650428554
537,Wuwei,37.9281,102.6414,68.7,5,60,6.62,CN,1650428554
538,Rosetta,31.4044,30.4164,59.74,70,3,7.11,EG,1650428554
539,Saint-François,46.4154,3.9054,37.67,100,0,1.14,FR,1650428555
540,Northam,51.0333,-4.2167,44.65,93,84,7.34,GB,1650428555
541,Dudinka,69.4058,86.1778,4.62,90,100,8.12,RU,1650428555
542,Marabu,4.4148,114.0089,91.54,43,40,8.05,MY,1650428555
543,Arlit,18.7369,7.3853,78.31,16,28,8.05,NE,1650428555
544,Skeldon,5.8833,-57.1333,74.55,92,99,4.92,GY,1650428555
545,Kandiari,26.9156,68.5216,93.6,28,0,9.51,PK,1650428556
546,Abbeville,50.1,1.8333,48.16,88,69,6.22,FR,1650428556
547,Atambua,-9.1061,124.8925,84.04,61,87,3.06,ID,1650428556
548,Zyryanka,65.75,150.85,29.55,78,26,13.91,RU,1650428556
549,Mortka,59.3322,66.0214,39.24,84,89,6.55,RU,1650428556
550,Mattru,7.6244,-11.8332,77.97,90,89,2.57,SL,1650428556
551,Vigrestad,58.5667,5.7,41.81,63,12,5.5,NO,1650428556
552,Koumac,-20.5667,164.2833,79.56,76,36,7.54,NC,1650428557
553,Bandarbeyla,9.4942,50.8122,81.9,67,31,6.98,SO,1650428557
554,Lakes Entrance,-37.8811,147.981,69.17,64,6,16.93,AU,1650428557
555,Port-Cartier,50.0334,-66.8654,32.22,98,100,25.41,CA,1650428557
556,Pahrump,36.2083,-115.9839,69.85,28,68,1.99,US,1650428558
557,Hunchun,42.8675,130.3581,76.14,23,10,5.95,CN,1650428558
558,Abu Samrah,35.3029,37.1841,52.95,82,0,5.39,SY,1650428558
559,Shahreza,32.0339,51.8794,64.08,14,100,1.86,IR,1650428558
560,Dongsheng,39.8161,109.9776,61.75,13,54,22.44,CN,1650428558
561,Kongsberg,59.6652,9.6465,40.41,63,0,3.24,NO,1650428558
562,Zhangye,38.9342,100.4517,68.14,5,73,9.37,CN,1650428558
563,Iquique,-20.2208,-70.1431,60.84,83,70,1.28,CL,1650428559
564,Kargasok,59.0556,80.8572,41.47,70,92,10.94,RU,1650428559
565,Yumen,40.2833,97.2,67.3,7,100,22.06,CN,1650428559
566,Hakkâri Province,37.5833,44.1667,58.78,31,75,5.75,TR,1650428408
567,Srednekolymsk,67.45,153.6833,31.51,82,9,8.61,RU,1650428559
568,Alugan,12.2188,125.4808,82.83,81,29,4.21,PH,1650428515
569,Shīeli,44.1667,66.75,65.07,41,100,10.2,KZ,1650428561
570,Anori,-3.7728,-61.6442,73.17,98,100,1.36,BR,1650428561
571,Truro,50.2653,-5.0544,49.28,93,20,10.36,GB,1650428561
572,Brawley,32.9787,-115.5303,77.61,35,0,25.32,US,1650428561
573,Lovozero,68.005,35.0117,33.37,99,100,4.23,RU,1650428561
574,Mopipi,-21.1833,24.8833,59.18,77,0,11.05,BW,1650428561
575,Elmadağ,39.9208,33.2308,36.34,81,39,4.25,TR,1650428561
576,Malkara,40.89,26.9011,35.42,90,5,2.33,TR,1650428562
577,Mt. Pleasant,32.7941,-79.8626,53.01,84,0,0.0,US,1650428562
